"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V68";"V69";"V70";"V71";"V72";"V73";"V74";"V75";"V76";"V77";"V78";"V79";"V80";"V81";"V82";"V83";"V84";"V85";"V86";"V87";"V88";"V89"
1;70;30;19;28;55;40;75;22;52;88;69;5;85;77;80;32;17;24;2;34;31;89;7;86;67;25;71;82;51;39;54;41;79;23;37;10;12;8;62;14;45;33;53;76;11;27;21;56;68;83;3;78;81;60;65;63;66;4;46;38;36;44;84;6;13;42;48;50;59;72;16;47;18;87;58;43;64;35;49;61;74;9;29;15;26;57;20;73
2;7;19;63;20;81;64;26;79;21;10;75;4;53;30;38;1;17;18;3;57;8;71;74;51;86;42;48;28;27;85;29;83;68;44;45;24;5;60;47;58;61;87;62;55;78;43;46;82;15;65;12;16;23;72;6;69;33;37;9;31;14;49;50;77;66;52;40;80;39;56;89;11;25;67;41;73;22;70;34;35;76;13;84;88;54;36;59;32
3;37;16;23;69;33;79;44;9;27;54;85;22;15;78;82;17;19;48;52;2;58;72;18;42;86;67;12;87;8;57;62;4;30;13;5;29;74;28;71;49;63;60;68;83;34;39;20;36;73;1;6;24;35;61;59;89;32;50;14;53;88;84;41;80;31;40;7;56;81;21;10;51;70;43;46;77;47;26;66;55;38;45;75;76;25;11;65;64
4;78;22;86;33;7;47;45;71;88;9;12;11;56;42;38;2;21;14;66;84;60;10;17;69;50;89;58;81;24;30;48;3;46;5;29;35;75;28;34;49;6;67;8;68;83;43;51;20;76;73;52;1;15;87;25;82;65;13;23;53;44;57;36;37;26;40;80;59;31;54;19;85;79;77;18;64;72;62;74;41;32;27;55;16;63;39;70;61
5;28;72;18;50;74;1;35;9;55;86;19;29;38;56;60;69;7;24;17;42;13;6;36;44;46;4;66;89;25;63;65;26;85;16;43;78;3;2;83;75;22;21;27;11;76;53;33;45;14;62;8;77;12;32;10;37;23;79;41;54;39;51;82;67;31;80;34;47;64;71;87;15;49;70;88;40;59;73;57;52;81;48;61;30;58;84;20;68
6;23;80;57;85;43;72;12;71;69;60;38;48;35;84;58;70;30;19;5;46;29;9;13;88;56;49;39;28;87;16;41;79;64;82;59;4;67;45;44;40;81;18;3;89;68;83;66;10;20;7;73;1;2;42;34;21;63;54;76;37;8;26;50;78;47;15;53;62;52;27;32;36;22;75;33;61;25;24;86;65;51;11;17;14;77;74;55;31
7;43;64;2;21;75;33;8;4;18;52;47;14;25;65;66;81;56;53;11;32;73;86;49;9;5;67;28;24;45;10;31;38;1;36;88;69;34;15;51;41;22;19;57;82;39;16;79;58;68;83;70;12;23;55;60;74;59;6;71;48;63;29;89;77;84;44;87;17;3;50;42;54;80;40;62;76;46;26;37;27;72;30;13;20;85;35;78;61
8;74;9;77;32;17;27;7;33;53;24;21;75;55;22;85;25;62;52;72;43;76;11;70;47;15;71;65;2;23;16;3;89;26;63;67;10;36;1;73;42;50;20;37;83;68;61;4;28;59;66;29;5;81;82;49;30;14;19;31;86;39;80;48;64;58;69;38;13;78;6;57;54;12;79;84;18;44;41;60;40;35;46;88;87;51;56;45;34
9;75;47;26;8;43;33;38;32;17;53;4;73;31;63;18;54;3;36;5;77;49;67;28;37;52;7;24;21;62;48;78;22;71;84;60;65;6;58;51;42;79;29;74;64;44;19;68;83;86;20;25;70;80;87;14;12;45;56;23;88;11;55;2;16;34;72;39;69;57;66;13;76;41;10;85;40;15;82;89;35;59;81;27;1;30;46;50;61
10;50;11;36;51;56;89;82;2;41;69;66;76;81;12;19;7;4;74;70;27;61;49;24;1;73;8;20;38;43;46;86;83;68;62;88;57;26;63;28;65;42;22;29;5;6;67;18;85;59;30;75;44;55;21;17;54;13;3;25;53;71;15;58;87;64;23;78;40;77;33;45;60;14;52;39;9;16;34;31;84;47;80;35;48;79;37;32;72
11;75;36;53;10;21;70;76;14;86;49;78;52;4;66;33;41;8;55;81;18;7;60;27;45;57;26;62;84;12;34;46;37;17;39;32;51;1;74;73;20;68;83;48;28;43;54;15;29;5;16;30;50;80;38;59;19;82;9;79;23;25;24;56;47;61;72;22;87;35;63;31;77;2;67;71;65;42;44;69;3;88;40;58;85;89;6;64;13
12;21;15;6;4;79;36;78;81;71;49;77;66;32;10;85;42;75;63;38;3;1;11;73;25;20;34;68;83;82;16;76;33;64;26;28;7;39;17;89;43;29;5;41;30;9;2;70;56;61;74;27;87;52;18;40;31;65;59;19;8;57;48;62;69;67;13;37;24;22;51;35;86;55;88;47;23;14;60;84;44;53;58;80;72;46;50;45;54
