aaxgbiwfen;Lo standard SQL è stato definito da: ( ) ACI, AISCAT e ISO ( ) ANSI e XOpen (*)
adiueedxey;Quale delle seguenti frasi SQL legge tutti dati dalla tabella articoli? ( ) F
afakgklfop;Una transazione deve essere "isolata", cioè: (*) Deve avvenire senza che gli 
akczmgrdbq;La sintassi dell' operazione di INNER JOIN è: ( ) SELECT * FROM INNER JOIN CLIE
asxurodfne;Cosa è una FOREIGN KEY? ( ) Una chiave di ricerca secondaria (*) Un campo che 
avagvdjdfu;Quale di questi linguaggi di programmazione è il più vecchio: (*) LISP ( ) A
axrvccwwsp;Quale di queste espressioni sarà valutata più rapidamente? (*) NOME = ”Greg” AN
bbsurwinbt;Cosa asserisce la legge empirica di Lehman: ( ) Che il tempo di puntamento è pr
biweemhojf;Qual è la frase SQL corretta per avere gli articoli ordinati per descrizione?
blhjkyufeg;Durante una transazione: ( ) Il database è sempre in uno stato consistente (
bwodxllzmk;Quale dei seguenti campi è il meno selettivo? ( ) La chiave primaria ( ) Un cam
byrtdixxea;La frase SELECT * FROM FATTURE, CLIENTI WHERE FATTURE.CODCLI=CLIENTI.CODCLI per 
csttpqoysn;Il risultato di una frase SQL di solito è ordinato per: ( ) Ordine di inserimen
culepaxyst;Le relazioni tra tabelle vengono espresse memorizzando nella tabella che referen
cuyddcrymb;La frase SELECT COUNT(*) AS NCLIENTI FROM CLIENTI: (*) Torna il numero di clien
cvnhqpgfyp;Alla COMMIT: ( ) I dati vengono scritti su disco ( ) I dati sono confermati 
dagputfvei;Che diagramma è il seguente? [IMG GI_diagram_3.gif] (*) Activity diagram
dbuqwjsyvj;Cosa ritorna la frase SELECT * FROM ARTICOLI ( ) Tutti i campi della tabella ar
dkihxiceua;L’operazione “HASH JOIN” viene eseguita in un tempo: ( ) Dipendente dalla mole 
dkzgokqmiq;Lo standard SQL è stato definito negli anni: ( ) Prima versione 1970, versione 
dlfyuvcbqx;Cosa ritorna la frase SELECT CODART, DESART FROM ARTICOLI ( ) Tutti i campi d
dllpxhzfkt;Le operazioni sul database possono essere eseguite in un tempo: (*) Dipendente 
dzxsvydlth;Il vostro database mostra costanti segni di rallentamento man mano che l’utente 
ebrpcrncwd;Per ottenere solo i clienti in provincia di Lodi qual è la frase corretta? ( ) 
eftrkdthng;Una transazione deve essere "durevole", cioè: ( ) Deve essere fibrata ( ) De
elqzybkpjl;Quali delle seguenti operazioni sono “rosse”, cioè hanno un tempo di esecuzione 
enitorndkz;Un database ha le seguenti tabelle:  ARTICOLI: gli articoli con campi CODART, 
enmkdvzmyk;Cosa è una "postcondizione"? ( ) Una procedura da eseguire prima di emettere 
ewplljreqn;Cos' è un "invariante di ciclo"? ( ) Un valore che non viene modificato in un
ffbcwwtnzk;Cosa è un indice? ( ) Una struttura ad albero inverso (*) Una via di accesso ra
fhqcltuqwl;L’operazione “NESTED LOOP” viene eseguita in un tempo: ( ) Dipendente dalla mol
fjmpjvualm;Se la tabella ORDINI ha 34 righe e la tabella ORDINI_M ha 14 righe, quante righe
fkdgytnwzf;Alcune operazioni del database creano risorse temporanee: (*) Queste operazioni
fumfugvkrl;Cos'è un "design pattern"? (*) Una soluzione comprovata ad un problema ricorr
fuzfbwlutx;Quale di questi predicati non è “sargabile”? (*) NOME <> ”Greg” ( ) NOME = “Gre
fyrpicjqan;Quale di questi predicati è “sargabile”? (*) NOME like “Greg%”  ( ) YEAR(DATA)=
fzoxjumtyn;L’operazione “MERGE JOIN” viene eseguita in un tempo: ( ) Dipendente dalla mole
gtxwazgyqz;L’operazione “INDEX SEEK” viene eseguita in un tempo: ( ) Dipendente dalla mole
guatssqajf;Se nella frase SELECT CODICE,DESCR FROM CLIENTI volessi cambiare il nome del cam
gyerxpmgqa;L' istruzione SQL per interrogare i dati è: ( ) FIND ( ) QUERY ( ) SEEK (*) SEL
hntvpqncrc;Ho compilato un programma in C. Devo eseguirlo su un computer con un altro siste
hyfoktjlpp;Cosa fa l' operazione di ROLLBACK: ( ) Riporta il database alla prima situazi
idfxvfzprt;Nella frase SELECT la parte INDEX: ( ) indica che indice utilizzare ( ) ottimiz
ieimtqtzpk;Un database ha le seguenti tabelle:  ARTICOLI: gli articoli con campi CODART
iezewxpthv;L’operazione “TABLE CONCATENATION” viene eseguita in un tempo: ( ) Dipendente d
ifrvxoopny;Quali sono le efficienze migliore, media e peggiore dell' algoritmo MergeSort?
ifvdeyoyre;Quali delle seguenti operazioni sono “gialle”, cioè creano delle risorse tempora
ikyqsdhuit;Una frase SELECT che estrae dati da più tabelle in relazione tra loro: ( ) Eseg
jbpjxhaxyy;Cosa è una chiave primaria: ( ) Un singolo campo con valore univoco ( ) Una com
jedvsptntk;L' istruzione SQL per cancellare i dati nell' archivio è: ( ) REMOVE (*) DELETE
jycipstmyp;Se l' isolation level è stato impostato a READ COMMITED, cosa avviene quando una
kbnwlxqtqc;Quale delle seguenti frasi esegue correttamente una operazione di prodotto carte
kexorxwipq;Il vostro database ha un improvviso peggioramento delle prestazioni man mano che
kfbpwmrkgz;Un database ha le seguenti tabelle:  ARTICOLI: gli articoli con campi CODART
kjecbikedc;Se l' isolation level è stato impostato a SERIALIZABLE, cosa avviene quando una 
kqkjrygfsc;Qual è il miglior indice per velocizzare la seguente query sulla tabella CLIENTI
kzzvvwynxn;Un database ha le seguenti tabelle: ARTICOLI: gli articoli con campi CODART
lgiqayejyf;L' istruzione SQL per creare una tabella è: (*) CREATE TABLE ( ) DEFINE TABLE (
ljozpygnua;Una transazione deve essere "consistente", cioè:( ) E' composta da più frasi
lohspalpqn;L' istruzione SQL per modificare una tabella è: ( ) MANAGE TABLE ( ) MODIFY TAB
lzpqvyslrv;Nella frase SELECT la parte HAVING: (*) filtra il risultato dopo aver calcolato
mdwdlplluz;L’operazione “SORT” viene eseguita in un tempo: ( ) Dipendente dalla mole di da
mezjrkwdmi;Quali sono due metodi per garantire la consistenza del database? ( ) COMMIT e
mligaxxxyv;L’operatore “<>”: (*) Può utilizzare gli indici ma raramente conviene ( ) Non u
mljwybuamb;Qual è la frase SQL corretta per ottenere tutti gli articoli con il prezzo compr
naywhaxocj;Qual è il miglior indice per velocizzare la seguente query? SELECT * FROM 
nqrcokzyep;Una frase SELECT è una transazione? (*) Se non è parte di una transazione più
